date,calories,fat_g,carbs_g,protein_g,fiber_g,steps,steps_goal,duration_min,miles,calories_1,floors,water_oz,water_goal_oz
2024-09-25,2009,60,226,141,16,1462,10000,16.47,0.69,82,0,70,104
2024-09-26,2052,104,145,137,6,17084,10000,192.43,7.86,929,0,56,104
2024-09-28,2853,135,227,188,11,305,10000,3.43,0.16,19,0,44,104
2024-10-02,2521,101,242,160,18,400,10000,4.5,0.21,25,0,59,104
2024-10-03,1072,40,94,91,15,17851,10000,201.07,8.23,973,0,70,104
2024-10-06,3764,119,427,253,38,11835,10000,133.3,5.43,642,0,85,104
2024-09-27,2062,71,195,166,20,2752,10000,30.98,1.24,147,3.28,69,104
2024-09-30,2543,118,212,165,24,8153,10000,91.83,3.86,456,3.28,94,104
2024-10-01,2334,88,261,121,9,9937,10000,111.92,4.61,546,3.28,76,104
2024-10-05,1844,69,198,112,26,1855,10000,20.88,0.82,98,3.28,72,104
2024-09-23,1908,58,241,105,19,2709,10000,30.5,1.25,134,6.56,72,104
2024-09-24,2250,85,253,129,23,16383,10000,184.53,7.42,877,6.56,67,104
2024-09-29,1789,60,136,184,16,14543,10000,163.8,6.76,800,6.56,90,104
2024-10-04,1762,61,164,153,20,3233,10000,36.42,1.43,170,6.56,64,104
